,id,created_time,text,source,favorite_count,retweet_count,username
57,789147820695486464,2016-10-20 16:54:36,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O,Twitter Web Client,1896,398,BarackObama
58,789127975140601856,2016-10-20 15:35:45,There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team:… https://t.co/SpfRFK5LWq,Twitter Web Client,3208,941,BarackObama
59,788834727054630913,2016-10-19 20:10:29,"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob",Twitter Web Client,3022,908,BarackObama
60,788803700286291969,2016-10-19 18:07:12,"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0",Twitter Web Client,4004,1273,BarackObama
61,788770735489552385,2016-10-19 15:56:12,"RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation’s history. Lowes…",Twitter Web Client,0,913,BarackObama
62,788758927617826816,2016-10-19 15:09:17,The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q,Twitter Web Client,7149,2344,BarackObama
63,788469915527163905,2016-10-18 20:00:51,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate,Twitter Web Client,4005,1781,BarackObama
64,788445867900489728,2016-10-18 18:25:18,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate,Twitter Web Client,2478,632,BarackObama
65,788426999626731521,2016-10-18 17:10:19,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ",Twitter Web Client,7771,1937,BarackObama
66,788405579316277248,2016-10-18 15:45:12,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP,Twitter Web Client,2978,746,BarackObama
67,788141079795163136,2016-10-17 22:14:11,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn,Twitter Web Client,5096,1271,BarackObama
68,788124404886540288,2016-10-17 21:07:55,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change: https://t.co/vM3xM6mCf3",Twitter Web Client,2827,1094,BarackObama
69,788088844771926016,2016-10-17 18:46:37,Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: https://t.co/OMdTVim0TC #DoYourJob,Twitter Web Client,3513,1321,BarackObama
